Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
2022-04-01,363563.49,204683.07,194078.82,194078.82,13764.02,13660.71
2022-04-02,296797.84,263436.5,194046.52,194046.52,7410.41,7245.8
2022-04-03,229460.21,288467.87,156781.57,156781.57,4497.3,4457.39
2022-04-04,278983.69,235762.36,165691.8,165691.8,6414.63,6425.96
2022-04-05,254533.5,260134.26,162892.08,162892.08,4974.64,4881.02
2022-04-06,342291.64,207482.13,171912.25,171912.25,7258.17,7098.81
2022-04-07,375221.21,232741.82,196807.42,196807.42,8482.86,8188.62
2022-04-08,399412.1,203683.91,184268.3,184804.6,10101.73,9907.44
2022-04-09,375717.02,195362.28,177061,177061,10126.73,10009.58
2022-04-10,333305.14,238671.45,187728.88,186604.82,8055.56,7956.44
2022-04-11,411202.99,181574.2,174176.44,174176.44,11041.95,10823.31
2022-04-12,417635.51,177546.49,167930.44,167930.44,10953.01,10778.4
2022-04-13,457931.17,161542,154561.5,154461.5,10897.01,10519.96
2022-04-14,400271.57,185729.41,158583.5,158583.5,9347.03,8758.77
2022-04-15,368103.46,197410.88,164657.23,164657.23,9744.77,9393.69
2022-04-16,351308.16,174303.76,147038.48,147038.48,10178.65,9881.34
2022-04-17,236218.94,214503.83,138474.14,138474.14,6954.68,7176.96
2022-04-18,334985.1,157015.04,144357.98,144357.98,10601.46,10339.12
2022-04-19,348863.69,162132.28,144500.21,144500.21,10489.36,10246.05
2022-04-20,414132.8,140440.03,131017.5,131017.5,11444.13,11316.63
2022-04-21,451093.13,121633.28,117287.16,117287.16,11841.81,11829.4
2022-04-22,538648.47,101898.82,99186.32,99186.32,12000,12000
2022-04-23,700726.77,89191.25,89191.25,89191.25,12000,12000
2022-04-24,442725.71,112523.72,106036.36,106036.36,11343.76,11325.92
2022-04-25,538169.87,84312.12,84312.12,84312.12,12000,12000
2022-04-26,479016.7,76347.39,76347.39,76347.39,12000,12000
2022-04-27,481061.77,80439.1,80439.1,80439.1,12000,12000
2022-04-28,660866.2,54349.86,54349.86,54349.86,12000,12000
2022-04-29,762110.1,47417.6,47417.6,47417.6,12000,12000
2022-04-30,713308.04,45331.17,45331.17,45331.17,12000,12000
2022-05-01,412476.43,73752.33,73419.28,73419.28,11968.66,11956.55
2022-05-02,336618.93,73148.22,73148.22,73148.22,12000,12000
2022-05-03,277823.35,106301.43,96564.08,96564.08,11745.39,11638.24
2022-05-04,397808.2,102239.81,97361.75,97361.75,11669.49,11452.88
2022-05-05,341834.62,101354.63,93334.62,93334.63,11304.13,10992.02
2022-05-06,247290.09,107756.32,91345.84,91345.84,10380.1,10118.73
2022-05-07,233076.2,134475.51,100984.03,100984.03,9620.95,9382.96
2022-05-08,135393.43,142903.35,75145.21,75145.21,6844.69,7235.54
2022-05-09,170429.4,136998.95,94079.82,94079.82,8088.64,8275.96
2022-05-10,155469.26,172410.5,98274.66,98274.66,5484.38,5450.17
2022-05-11,185659.78,193402.49,106851.4,106851.4,5876.71,5945.11
2022-05-12,189254.2,204481.24,114909.94,114909.95,5887.1,5994.53
2022-05-13,187883.37,215020.75,124009.06,124009.05,4840.23,5040.81
2022-05-14,163662.02,222312.53,111960.14,111960.14,4358.88,4533.68
2022-05-15,134073.49,267811.68,95361.85,95361.84,3345.7,3499.15
2022-05-16,160805.72,203536.97,93707.24,93707.23,4677.99,4870.04
2022-05-17,186553.4,197959.02,105000.15,105000.15,5133.35,5307.9
2022-05-18,206774.15,166706.01,109089.14,109089.15,5905.63,6016.61
2022-05-19,237297.45,186919.18,137089.53,137089.53,6515.07,6681.16
2022-05-20,230449.86,176364.7,128320.29,128320.3,6943.46,7071.27
2022-05-21,193844.33,194849.03,120727.92,120727.92,6488.3,7021.05
2022-05-22,103943.6,251457.84,70117.06,70117.06,2887.33,2873.58
2022-05-23,124776.59,269126.47,79176.31,79176.31,3470.76,3544.29
2022-05-24,139168.64,259021.44,87926.01,87926.01,3541.35,3753.74
2022-05-25,225771.86,203958.06,111503.82,111503.81,4928.54,5088.22
2022-05-26,244184.65,187660.58,140291.21,140291.21,6613.75,6678.4
2022-05-27,210867.71,184508.76,125046.27,125046.23,7024.45,7266.56
2022-05-28,161558.04,201219.77,98657.08,98657.08,5222.36,5883.97
2022-05-29,142050.19,237223.12,97128.62,97128.62,4335.59,4706.08
2022-05-30,206761.47,184686.65,114922.15,114922.15,6449.59,6851.21
2022-05-31,190115.41,195612.97,107049.77,107049.77,5916.41,6296.9
2022-06-01,195662.72,196876.93,125685.87,125685.87,6567.19,7061.28
2022-06-02,222509.54,208465.83,147275.88,147275.86,7206.03,7870
2022-06-03,211094.42,207113.85,139839.84,139839.84,6735.32,7397.86
2022-06-04,236464.27,194967.59,144040.6,144040.6,7650.32,8232.92
2022-06-05,221317.07,206021.94,140270,140270,7040.7,7656.35
